Intern_ID,Task_Completion_Time_Hours,Feedback_Rating,Attendance_Percentage,Performance_Score
1,2.3,2.7,83,100.0
2,7.0,4.7,82,95.0
3,4.0,4.6,75,80.5
4,5.4,4.3,75,85.0
5,4.6,2.7,89,83.5
6,2.0,4.3,73,40.2
7,2.6,2.9,95,53.3
8,3.8,3.6,85,89.0
9,7.0,4.4,80,95.2
10,4.9,4.6,90,32.0
11,6.9,3.3,82,88.8
12,5.9,3.6,87,97.8
13,6.0,4.7,85,56.9
14,4.5,3.8,97,98.0
15,3.1,4.6,99,50.5
16,3.6,3.3,87,68.0
17,2.4,3.6,88,70.4
18,2.1,4.0,96,38.9
19,2.1,3.4,77,45.5
20,5.0,4.6,71,68.8
21,8.0,4.9,90,42.0
22,5.3,5.0,74,53.0
23,4.7,4.4,71,97.2
24,4.7,2.6,95,96.3
25,3.6,3.6,83,43.7
26,5.7,3.8,92,99.4
27,4.6,2.5,87,91.2
28,5.3,4.1,70,98.4
29,3.6,3.7,94,88.0
30,4.5,2.6,90,99.3
31,7.3,3.5,92,94.7
32,2.9,4.2,93,99.4
33,7.3,2.6,86,78.2
34,3.8,4.8,94,100.0
35,6.7,3.5,74,65.8
36,4.0,2.8,75,93.4
37,4.3,2.7,74,87.5
38,2.1,3.6,93,100.0
39,7.9,4.2,79,87.3
40,6.6,2.9,80,85.0
41,5.1,2.8,86,88.9
42,6.4,3.1,88,88.5
43,3.6,3.8,76,100.0
44,3.6,2.6,86,94.2
45,3.2,3.0,98,100.0
46,3.2,3.9,72,100.0
47,2.5,3.9,74,100.0
48,6.9,3.8,95,100.0
49,5.0,3.5,70,88.1
50,7.0,3.9,85,91.7
51,7.5,4.6,99,100.0
52,5.8,4.7,95,100.0
53,7.8,3.4,88,82.8
54,2.3,4.7,81,100.0
55,7.1,3.3,76,83.3
56,4.1,4.4,96,100.0
57,4.3,4.5,96,100.0
58,5.0,4.6,75,100.0
59,4.3,2.7,79,87.9
60,3.6,4.5,80,100.0
61,4.3,4.0,79,100.0
62,5.4,4.9,80,100.0
63,4.7,4.6,88,100.0
64,3.5,4.2,86,100.0
65,7.5,3.3,71,73.6
66,2.1,4.2,93,100.0
67,5.2,3.7,87,98.3
68,7.2,4.7,77,96.0
69,2.2,3.8,99,100.0
70,6.6,3.2,88,93.0
71,2.1,4.3,77,100.0
72,2.4,3.1,75,100.0
73,4.1,2.6,70,85.5
74,3.0,2.6,86,97.9
75,6.4,3.8,76,88.0
76,7.2,3.7,79,86.6
77,2.6,4.0,87,100.0
78,3.2,4.9,72,100.0
79,4.4,4.5,84,100.0
80,5.4,4.4,83,100.0
81,2.9,2.8,99,100.0
82,3.4,2.6,99,100.0
83,4.4,2.6,83,93.0
84,5.3,2.6,100,95.5
85,7.3,4.6,92,100.0
86,3.1,2.8,91,100.0
87,3.9,3.8,93,100.0
88,2.9,3.1,77,100.0
89,7.5,3.5,76,80.2
90,7.9,3.7,71,76.4
91,4.9,4.3,73,97.3
92,4.8,4.7,87,100.0
93,4.7,3.4,81,94.8
94,7.6,2.8,96,88.7
95,2.6,4.2,93,100.0
96,6.0,4.9,75,100.0
97,7.3,2.9,97,84.7
98,6.7,2.7,71,70.9
99,3.3,3.6,76,100.0
100,2.4,2.9,84,100.0
